日付,曜日,行事名,対象,子ども向け,メモ
2026-08-31,月,始業式,全校,○,1学期終業後の始業式
2026-08-31,月,給食開始,全校,○,
2026-09-01,火,朝会,全校,○,
2026-09-02,水,委員会活動,4〜6年,○,低学年は通常授業
2026-09-03,木,避難訓練,全校,○,地震想定
2026-09-04,金,クラブ活動,4〜6年,○,
2026-09-07,月,全校朝会,全校,○,
2026-09-08,火,身体測定,3年,○,該当学年のみ黒板に書く
2026-09-09,水,校内研究会,教員,×,子ども向けではない
2026-09-10,木,修学旅行説明会,6年保護者,×,保護者会。子ども向けは別途判断
2026-09-10,木,家庭学習強調週間スタート,全校,○,〜9/16まで
2026-09-11,金,クラブ活動,4〜6年,○,
2026-09-14,月,全校朝会,全校,○,
2026-09-15,火,敬老の日,全校,○,祝日
2026-09-16,水,平常授業,全校,○,
2026-09-17,木,運動会予行,全校,○,
2026-09-18,金,運動会,全校,○,雨天時は延期
