,,令和8年度４月行事予定表,
日,曜,行事予定
1,水,辞令交付式
2,木,新年度準備
3,金,新年度準備 ６年生修学旅行下見
4,土,６年生修学旅行下見
6,月,AM入学式準備／１４時〜新年度準備（給食担当から始める＠会議室）
7,火,始業式・着任式 B3／（今年度は６年生に入学式準備はなし）
8,水,入学式 B3 保健等関係書類配付（２〜６年家庭環境票、１年引き渡しカード配付） 視力（５，６年）
9,木,１年B3(11:15) ２〜６年B4／視力（３，４年） 聴力５年 発育６年
10,金,保健等関係書類締め切り／給食開始 委員会① １年B3(11:15)／視力(１，２年) 聴力３年 発育５年
13,月,１年B4(12:05) 視力（し） 聴力２年／発育４年
14,火,１年B4(12:05) 聴力１年 発育３年／１年生を迎える会（１校時）／登校班班長会議（昼）
15,水,相小研① １年B4(12:05)／聴力（し） 発育２年
16,木,１年B4(12:05) 発育１年・（し）／学年費集金日
17,金,１年給食開始(13:20) 授業公開５校時懇談会（３，４年） 発育（未実施）
18,土,PTA本部会実行委員会
20,月,１年A4(13:20) 視力（再未６年） 青パト／授業公開５校時懇談会（５，６年）
21,火,１年A4(13:20) 尿検査① ／視力（再未５年） 授業公開５校時懇談会（２年、し）懇談会のみ（１年：１５：３０〜体育館）
22,水,１年A4(13:20) クラブ活動①／視力（再未３，４年）
23,木,１年A4(13:20) ６年全国学力学習状況調査 ３〜５年学びの調査学びの調査３，４，５年生
24,金,１年A4(13:20) 登校班指導2校時後半〜／６年学調質問紙（午後） 視力（再未し、１，２年）
27,月,１年A4(13:20) 聴力（再未し、３，５年）
28,火,１年A4(13:20) 避難訓練（地震）２校時後半〜／聴力（再未１，２年） 代表委員会（昼）
29,水,昭和の日
30,木,１年A4(13:20) ／ふれあい（顔合わせ・中）
